District ,Mandal,GP,female,male,transgender
ADILABAD,MUDHOLE,MUDHOLE,2631,1811,5
ADILABAD,MUDHOLE,RAMTEK,329,172,1
ADILABAD,MUDHOLE,SAWARGAON,242,135,
ADILABAD,MUDHOLE,TAKLI,441,273,4
ADILABAD,MUDHOLE,TARODA,385,234,3
ADILABAD,MUDHOLE,VITHOLI,519,314,
ADILABAD,MUDHOLE,VONI,234,133,
ADILABAD,NARNOOR,ARJUNI,385,271,1
ADILABAD,NARNOOR,BABJHARI,240,167,1
ADILABAD,NARNOOR,BHIMPUR,350,202,
ADILABAD,NARNOOR,CHORGAON,587,453,2
ADILABAD,NARNOOR,DHABA B,506,388,5
ADILABAD,NARNOOR,DONGARGAON,412,319,1
ADILABAD,NARNOOR,GADIGUDA,709,478,2
ADILABAD,NARNOOR,GUNJALA,513,385,1
ADILABAD,NARNOOR,KHAIRDATWA,448,279,1
ADILABAD,NARNOOR,KHANDOW,551,391,1
ADILABAD,NARNOOR,KOLAMA,469,360,
ADILABAD,NARNOOR,KOTHAPALLE G,529,422,4
ADILABAD,NARNOOR,KOTHAPALLI (H),293,186,
ADILABAD,NARNOOR,LOKARI K,389,274,2
ADILABAD,NARNOOR,MAHAGAON,509,332,
ADILABAD,NARNOOR,MALANGI,300,194,1
ADILABAD,NARNOOR,MANKAPUR,306,205,1
ADILABAD,NARNOOR,NAGOLKONDA,742,544,1
ADILABAD,NARNOOR,NARNOOR,784,484,2
ADILABAD,NARNOOR,PARASWADA B,496,384,2
ADILABAD,NARNOOR,PIPRI,479,338,2
ADILABAD,NARNOOR,SANGVI,483,352,1
ADILABAD,NARNOOR,TADIHADPANUR,1038,547,1
ADILABAD,NARNOOR,UMRI,461,349,1
ADILABAD,NERADIGONDA,BONDIDI,360,244,2
ADILABAD,NERADIGONDA,BOREGAOM,626,467,1
ADILABAD,NERADIGONDA,BUGGARAM,695,406,1
ADILABAD,NERADIGONDA,KORATKAL (B),559,400,1
ADILABAD,NERADIGONDA,KUMARI,607,308,2
ADILABAD,NERADIGONDA,NERADIGONDA,779,429,5
ADILABAD,NERADIGONDA,RAJURA,308,177,1
ADILABAD,NERADIGONDA,ROLMAMDA,467,289,4
